Date,XLF,IYR,XLK,XLY,IYZ,XLU,XLE,XLV,XLP,XLB,XLI
2000-06-01,11.73586654663086,13.253799438476562,40.55304718017578,19.134504318237305,31.85352897644043,11.339872360229492,15.74759578704834,20.30098533630371,13.881194114685059,11.174365043640137,17.998289108276367
2000-07-01,12.814600944519043,13.973865509033203,38.40143585205078,19.475419998168945,29.294023513793945,11.602684020996094,15.220797538757324,20.000551223754883,13.404967308044434,11.325142860412598,18.314498901367188
2000-08-01,14.116202354431152,13.882901191711426,42.30707550048828,18.667844772338867,28.619304656982422,12.054728507995605,16.883020401000977,20.70873260498047,13.241280555725098,11.584155082702637,20.12801742553711
2000-09-01,14.379622459411621,14.31397819519043,34.7062873840332,18.644445419311523,27.09735107421875,13.53536605834961,17.086727142333984,19.95763397216797,13.775409698486328,10.387332916259766,19.490297317504883
2000-10-01,14.298751831054688,13.331364631652832,32.71841049194336,18.4560546875,27.362031936645508,14.44038200378418,16.69414520263672,20.258073806762695,14.787717819213867,11.364907264709473,19.983081817626953
2000-11-01,13.568269729614258,13.782644271850586,26.00633430480957,17.99846649169922,22.318449020385742,14.433771133422852,15.818528175354004,18.41252326965332,15.297938346862793,11.07741928100586,19.30365753173828
2000-12-01,14.671761512756348,14.53878116607666,23.433773040771484,19.218692779541016,20.593992233276367,14.0308198928833,17.381555557250977,18.712955474853516,15.80815601348877,12.317229270935059,19.983081817626953
2001-01-01,14.691082000732422,14.802894592285156,27.914714813232422,21.5073299407959,24.53055763244629,13.435689926147461,16.87800407409668,20.069416046142578,14.698457717895508,12.3007173538208,20.143320083618164
2001-02-01,13.702693939208984,14.599183082580566,20.962234497070312,19.97163200378418,21.541654586791992,13.714527130126953,16.67313575744629,19.684785842895508,14.787272453308105,12.460010528564453,18.936138153076172
2001-03-01,13.248433113098145,14.53904914855957,18.559921264648438,19.640398025512695,19.829097747802734,13.422826766967773,16.12682342529297,18.421001434326172,13.721519470214844,11.781547546386719,17.07398223876953
2001-04-01,13.77306842803955,15.051806449890137,21.56093978881836,20.59311866760254,20.74810791015625,14.170269966125488,17.845993041992188,19.7845458984375,14.028888702392578,13.098432540893555,19.080236434936523
2001-05-01,14.3790922164917,15.39618968963623,20.67784309387207,21.083444595336914,20.462339401245117,14.26963996887207,17.67738914489746,20.54020118713379,14.234867095947266,13.602232933044434,19.878742218017578
2001-06-01,14.22382926940918,16.0188045501709,21.081974029541016,20.87223243713379,19.804523468017578,13.457432746887207,15.991318702697754,20.299758911132812,13.533422470092773,13.074734687805176,18.610149383544922
2001-07-01,14.14045524597168,15.89771842956543,19.622617721557617,21.84724998474121,20.299074172973633,13.431830406188965,15.881146430969238,19.90270233154297,13.989737510681152,13.097058296203613,18.611743927001953
2001-08-01,13.205472946166992,16.328022003173828,17.22779083251953,19.934673309326172,18.22971534729004,12.953203201293945,15.208847045898438,18.892438888549805,14.05675220489502,13.043478012084961,17.972858428955078
2001-09-01,12.406201362609863,15.573511123657227,14.406387329101562,17.364408493041992,18.218915939331055,12.73129940032959,13.668375015258789,16.150327682495117,13.995314598083496,11.430154800415039,15.275321960449219
2001-10-01,12.284676551818848,14.622517585754395,15.977988243103027,18.33406639099121,16.198190689086914,12.154169082641602,14.298896789550781,16.239473342895508,13.950160026550293,11.809961318969727,15.611682891845703
2001-11-01,13.082452774047852,15.624738693237305,18.365337371826172,20.77558135986328,16.61626434326172,12.000703811645508,13.500370979309082,18.123306274414062,14.566435813903809,13.307171821594238,17.173492431640625
2001-12-01,13.27937126159668,15.723254203796387,17.961212158203125,21.68545913696289,17.059940338134766,12.290091514587402,14.213713645935059,18.528947830200195,14.23029613494873,12.8280611038208,17.95116424560547
2002-01-01,13.185133934020996,15.980158805847168,17.766626358032227,22.433374404907227,15.473821640014648,11.939018249511719,13.76447582244873,18.42403221130371,14.1849365234375,13.20995807647705,16.817058563232422
2002-02-01,12.95693302154541,16.296194076538086,15.45412826538086,22.55487823486328,14.308539390563965,11.91692066192627,14.23486614227295,19.271198272705078,14.482914924621582,13.909022331237793,17.238304138183594
2002-03-01,13.768330574035645,17.04230308532715,16.217470169067383,22.813074111938477,14.200142860412598,12.451571464538574,15.442934036254883,20.380067825317383,14.67406940460205,14.288688659667969,17.653053283691406
2002-04-01,13.463089942932129,17.333843231201172,14.256712913513184,22.203094482421875,12.174798965454102,11.790658950805664,14.937195777893066,20.265148162841797,14.169539451599121,13.659510612487793,16.482751846313477
2002-05-01,13.422388076782227,17.668550491333008,13.665489196777344,22.08902931213379,12.218291282653809,11.692666053771973,14.674393653869629,20.54766845703125,14.011662483215332,14.33674144744873,16.554248809814453
2002-06-01,12.791454315185547,17.688833236694336,11.839428901672363,20.887638092041016,10.168313980102539,10.801795959472656,14.052234649658203,19.073081970214844,12.545654296875,14.022307395935059,15.501321792602539
2002-07-01,11.78014087677002,17.104045867919922,10.716854095458984,18.42702293395996,8.92577075958252,9.300651550292969,12.17825984954834,18.52649688720703,12.046595573425293,12.494314193725586,14.65939998626709
2002-08-01,11.99989128112793,17.165813446044922,10.627046585083008,18.98311424255371,9.171435356140137,9.669442176818848,12.361717224121094,18.705699920654297,12.14273738861084,12.427462577819824,14.43136978149414
2002-09-01,10.563794136047363,16.08715057373047,8.853377342224121,17.26915168762207,7.664699077606201,8.396675109863281,11.417455673217773,17.492652893066406,11.192587852478027,10.750208854675293,12.717849731445312
