Regime,XLF,IYR,XLK,XLY,IYZ,XLU,XLE,XLV,XLP,XLB,XLI
0,3.01707158941085e-18,7.337007567244055e-14,0.4999999999999999,0.49999999999996614,1.010684154744285e-15,2.2397599669103864e-17,3.853087425822973e-14,1.7557254112691543e-14,4.166935552786689e-15,5.48515377421931e-18,3.101486328740793e-18
1,0.0,0.004830608441141623,5.8000363852052005e-18,1.317278345244899e-18,6.688313373689102e-18,0.3943413638491982,0.13640751610346452,9.56550644525418e-19,0.34661229957464257,0.05449798595520517,0.06331022607634804
2,3.7920313559147486e-18,0.0,0.13255867184365672,0.28062400171862617,1.3877787807814457e-17,0.46311680704927016,0.0,0.09683925490105068,3.641958016440989e-19,0.0,0.026861264487396348
3,1.0790116257487358e-14,0.4999999999999976,6.6927584351185624e-15,0.49999999999999994,1.643591847185424e-14,6.559843793694332e-17,2.0902050308790547e-17,9.634653527903514e-15,1.489408705281975e-17,5.43081435557209e-15,1.1066060472122089e-16
