Regime,XLF,IYR,XLK,XLY,IYZ,XLU,XLE,XLV,XLP,XLB,XLI
0,0.0,0.034974329108608634,4.113215570793147e-18,0.5,1.996166010369457e-18,0.04641323484891597,0.06587414379548742,1.061991096469542e-17,0.10326917202666384,0.24946912022032428,0.0
1,0.06972501676855977,0.031316524402544746,2.6020852139652106e-18,2.6020852139652106e-18,0.0,0.37352473316413093,0.051723645568471394,0.0,0.23010323970099306,0.04736908564705101,0.19623775474824914
2,0.14540987998124225,0.5,0.0,0.127938587654597,0.0,0.0,1.734723475976807e-18,0.2266515323641607,9.540979117872439e-18,0.0,3.0357660829594124e-18
3,0.0,9.564862199994774e-18,0.31132685238401336,8.002147934371256e-18,0.10020462154439838,0.5,1.3877787807814457e-17,2.7272662479588078e-18,0.07132711637957563,0.017141409692012707,0.0
4,7.949853782086742e-14,1.7525798693407056e-15,3.8382170308992405e-18,1.2515302746453506e-13,2.295595014645544e-18,0.5,2.202550805668057e-14,8.483605920471504e-19,0.5,8.251489387095976e-18,9.502142219633301e-15
5,2.5837119727518506e-18,0.44002180836612387,0.0,0.12578400140561158,0.0,0.1674436125368186,9.938757968032383e-18,0.20064805857375767,0.0661025191176884,4.153351005347952e-18,1.1420959319479771e-17
