Regime,IYR,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0,0.023644211102435104,0.17317893789939434,0.0,0.21682914997636787,1.6626206505078346e-18,0.0,0.0,0.07692047007386976,0.4999999999999999,0.009427230947932984,3.1117545755097325e-17
1,7.784198081006179e-20,6.997180867526358e-14,1.4948557028068447e-21,0.49999999999999867,2.4417105397381227e-21,3.4887736611219764e-20,1.0574917092323882e-14,1.1845797910573297e-20,3.7345176307606974e-14,2.2207293196165996e-16,0.5
2,2.9338119560082603e-18,1.0408340855860843e-17,0.05255829479347965,0.058985058152875636,0.0,0.12623906855551548,0.0,0.31597864463698133,0.300243147497142,0.14599578636400593,0.0
3,0.4567057471541972,0.0,0.0,1.6653345369377348e-16,0.023990500504094348,0.0,0.0,0.0,0.43781233207390813,6.938893903907228e-17,0.0814914202678
4,1.1863882272422632e-16,1.2739375526704677e-18,0.27829877963153343,0.0,0.10225769799873317,0.0,5.936006894358137e-18,0.0,0.0,0.11944352236973345,0.49999999999999983
5,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1
6,0.49999999999999,6.622307261633993e-18,5.108097478947026e-15,6.691489179187338e-16,5.6581312152009794e-18,3.782218610178233e-18,6.2112471605196155e-18,0.49999999999999933,2.0843234071777685e-18,7.800889709947126e-16,3.28078541107127e-14
