,Regime-Based,Equal-Weighted
Monthly Return,0.00827034119460017,0.009427227857562595
Monthly Volatility,0.04126803003656292,0.048149951479714063
Annual Return,0.10388519437887389,0.11918061779885636
Annual Volatility,0.14295664950321096,0.166796324689682
Sharpe Ratio,0.1590607720072798,0.1603534612708936
Annual Sharpe,0.5510026772154761,0.5554806841814318
Max Drawdown,-0.19232186644599308,-0.22915402858782524
Sortino Ratio,0.23415275026383994,0.21532145538160413
Annual Sortino,0.8111289203779152,0.7458954013612268
Information Ratio,-0.05992240729324441,
Win Rate,0.5862068965517241,0.6436781609195402
Avg Up Month,0.035737146503986045,0.036457894788842655
Avg Down Month,-0.030640966327029822,-0.03940236401829815
