Date,Regime,Regime_Portfolio,Equal_Portfolio
2017-05-01,1,0.021799092747877086,0.0051644997112478734
2017-06-01,2,-0.020535263482080807,0.0002954874589436463
2017-07-01,2,0.029224888144955045,0.020693427093158762
2017-08-01,2,0.015635429228178763,-0.00038277167843783717
2017-09-01,2,-0.012732180802388972,0.00973008039134539
2017-10-01,2,0.03778811412344163,0.021015579279951294
2017-11-01,2,0.032461446299039465,0.02770413468786899
2017-12-01,2,-0.0264210634781327,0.0013562752020655916
2018-01-01,2,0.03495347115862299,0.04125280494984322
2018-02-01,2,-0.033633494483918294,-0.04995483250386216
2018-03-01,2,-0.0029476844236099174,-0.0180182653294098
2018-04-01,2,0.021853905421051086,0.013819385463643292
2018-05-01,2,0.01044838995126252,0.013867975362986302
2018-06-01,2,0.017607410759536198,0.007923299779288491
2018-07-01,2,0.02948940694641369,0.03671280157135997
2018-08-01,2,0.03329331600072559,0.02263195518424639
2018-09-01,2,-0.004001151035577254,-0.0035446364000524637
2018-10-01,2,-0.033410647477763594,-0.053265932695928844
2018-11-01,2,0.029588280881580102,0.02689646397970676
2018-12-01,2,-0.06967296790036,-0.09236923855002659
2019-01-01,2,0.06725551187323522,0.08384157303944438
2019-02-01,2,0.03463480327954598,0.03263924953442959
2019-03-01,2,0.02421027021560567,0.012834918765205193
2019-04-01,2,0.03195036504155632,0.033939350229830315
2019-05-01,2,-0.0406530817276575,-0.05891600313476888
2019-06-01,2,0.05115459188675192,0.06135593339488503
2019-07-01,2,0.011845706901519969,0.015502735148664955
2019-08-01,2,0.017594151661711264,-0.014692048379903108
2019-09-01,2,0.020440665116222327,0.020430246740994317
2019-10-01,2,0.012763118421728442,0.016764817719094056
2019-11-01,2,0.008231351321134488,0.02173003236682188
2019-12-01,2,0.025736455817071992,0.017411557326665803
2020-01-01,2,0.039985726946831855,-0.001607052951061937
2020-02-01,2,-0.0856201732177412,-0.08811968089943142
2020-03-01,2,-0.11481220239398506,-0.15330253374372313
2020-04-01,2,0.10917006832490357,0.1358428816351441
2020-05-01,2,0.05206622345521142,0.04086121169252778
2020-06-01,2,-0.010872497407469412,-0.0002450849283513372
2020-07-01,2,0.07634030900035757,0.053586535331005096
2020-08-01,2,0.035314878403096724,0.03963980270651231
2020-09-01,2,-0.014921380441032975,-0.03780979031343067
2020-10-01,2,0.010732326859531632,-0.01342395478381669
2020-11-01,2,0.058555801026219545,0.1193886697413359
2020-12-01,2,0.015694103626580712,0.023672194220176163
2021-01-01,2,0.0024048270701851494,-0.001084507507681519
2021-02-01,2,-0.02810841437759256,0.03489000123641044
2021-03-01,2,0.06515010412509702,0.05554700303470479
2021-04-01,2,0.053937659871944245,0.04809561577643433
2021-05-01,2,-0.018945416815951376,0.015986722110677153
2021-06-01,2,0.005568847090607747,0.001093339830259563
2021-07-01,2,0.03810314797852616,0.02055367385549043
2021-08-01,2,0.0303092730173542,0.020611507799651835
2021-09-01,2,-0.05324491738352146,-0.04192326448555279
2021-10-01,2,0.07837349193260659,0.06985547667021398
2021-11-01,2,-0.0013163514580359212,-0.018787351782377917
2021-12-01,2,0.05463129049281903,0.05659153039008183
2022-01-01,2,-0.054248532002876215,-0.02621583155629999
2022-02-01,2,-0.027867109828288147,-0.015412509416549055
2022-03-01,2,0.06674228328248855,0.04192665236673114
2022-04-01,2,-0.07091344557425869,-0.059387972838154356
2022-05-01,2,0.005991514769345603,0.014719027629112126
2022-06-01,2,-0.07473782070446015,-0.09008365016090114
2022-07-01,2,0.1061145312611816,0.08489622988598984
2022-08-01,2,-0.02475765562110563,-0.029436173022100005
2022-09-01,2,-0.10047610844204231,-0.10246767366153815
2022-10-01,2,0.03998808065009779,0.09953590709469623
2022-11-01,2,0.05147600978743315,0.056951668658533475
2022-12-01,2,-0.053053101081588463,-0.05250972002674903
2023-01-01,2,0.050223308850018564,0.061369047743640145
2023-02-01,2,-0.03756004376608289,-0.036280097848333
2023-03-01,2,0.042747866604031313,0.008645309935293492
2023-04-01,2,0.01336236284541975,0.0147690916644982
2023-05-01,2,-0.013232932790101739,-0.03463189167921374
2023-06-01,2,0.05167116759008148,0.060255232366969946
2023-07-01,2,0.028458955786025343,0.03498659392387743
2023-08-01,2,-0.03648417419540487,-0.019519111829785937
2023-09-01,2,-0.05943985372116589,-0.051140851680818875
2023-10-01,2,-0.008355437214586118,-0.021577160276146555
2023-11-01,2,0.07932535667293887,0.07532394698109325
2023-12-01,2,0.03160349857588066,0.039940954491370036
2024-01-01,2,-0.014362952990946391,0.0017274752229315367
2024-02-01,2,0.03827605458410886,0.03234197832001401
2024-03-01,2,0.029556278265377406,0.03308242574492283
2024-04-01,2,-0.013274406982901749,-0.03395904342901512
2024-05-01,2,0.05420178904883519,0.0355747529798773
2024-06-01,2,-0.0077526480071250835,-0.0014046470738204892
2024-07-01,2,0.04430027105304417,0.04386506275332029
