Regime,XLF,IYR,XLK,XLY,IYZ,XLU,XLE,XLV,XLP,XLB,XLI
0,0.0,0.3168640951194394,0.0,0.495311788317667,1.0719369997552591e-19,3.342031008993914e-18,0.0,0.18402224635691253,0.0005028469307413757,1.3877787807814457e-17,0.0032990232752397666
1,0.02444808998515517,0.5,1.5028050317153762e-19,0.03436660481042881,2.3186848481425465e-18,0.09649925111555188,5.839613721657394e-19,1.8850039791483447e-18,0.3446860540888641,2.053328134589902e-17,0.0
2,7.538520277402447e-18,0.0,1.2109740584166549e-18,0.0,0.0,0.4958112563081497,0.18901947168654087,0.0028497996927673783,0.1586541505275712,0.15366532178497078,0.0
3,4.222896876390704e-18,0.03022297498947167,0.0,0.08564099181200781,7.531970943438963e-18,0.5,0.0,0.009435859773456248,0.37470017342506423,5.005757103629498e-18,6.071443517077054e-18
4,3.3120115719750307e-18,0.0,0.5,0.053983825801242925,4.4139111525246345e-18,9.5927701947545e-18,1.6644455513975365e-17,0.4460161741987573,0.0,5.100902741569581e-18,5.52441641687084e-18
