,Regime-Based,Equal-Weighted
Monthly Return,0.006868755840199285,0.009427227857562595
Monthly Volatility,0.04505964703291864,0.048149951479714063
Annual Return,0.08561134602106635,0.11918061779885636
Annual Volatility,0.15609119606427058,0.166796324689682
Sharpe Ratio,0.11457123396157311,0.1603534612708936
Annual Sharpe,0.39688639661461095,0.5554806841814318
Max Drawdown,-0.21341451209468568,-0.22915402858782524
Sortino Ratio,0.15575942004545787,0.21532145538160413
Annual Sortino,0.5395664585523905,0.7458954013612268
Information Ratio,-0.13155788846035008,
Win Rate,0.632183908045977,0.6436781609195402
Avg Up Month,0.03322303230031696,0.036457894788842655
Avg Down Month,-0.03842765682562795,-0.03940236401829815
